;;;;Chalamont;Chalamont;CONFRANCON;CONFRANCON;Cusset;Cusset;Divonne-Les-Bains;Divonne-Les-Bains;Domerat;Domerat;OYONNAX Arbent;OYONNAX Arbent;Saint-Galmier;Saint-Galmier;Vichy;Vichy
;;;;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split
categorie;type;nom;poids;;;;;;;;;;;;;;;;
Fruits et légumes;Fruits; myrtilles - ;125g ;2.99;[' myrtilles - ', '. 1'];2.99;[' myrtilles - ', '. 1'];;;2.99;[' myrtilles - ', '. 1'];;;2.99;[' myrtilles - ', '. 1'];2.99;[' myrtilles - ', '. 1'];;
Fruits et légumes;Fruits; mélange craquant - biologique - vrac;De 120g à 150g ;;;;;;;;;;;;;5.24;[' mélange craquant - biologique - vrac'];;
Fruits et légumes;Fruits; mélange salade - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;3.3;[' mélange salade - biologique - vrac'];;
Fruits et légumes;Fruits; nashi - ;De 800g à 1kg ;;;;;;;;;;;4.99;[' nashi - ', '. 1'];;;;
Fruits et légumes;Fruits; noisettes décortiquées;300g ;5.69;[' noisettes décortiquées'];;;5.69;[' noisettes décortiquées'];5.69;[' noisettes décortiquées'];6.59;[' noisettes décortiquées'];5.69;[' noisettes décortiquées'];5.69;[' noisettes décortiquées'];;
Fruits et légumes;Fruits; noisettes décortiquées - biologique - vrac;De 160g à 200g ;;;;;;;;;;;4.38;[' noisettes décortiquées - biologique - vrac'];4.38;[' noisettes décortiquées - biologique - vrac'];5.38;[' noisettes décortiquées - biologique - vrac']
Fruits et légumes;Fruits; noisettes séchées - ;De 400g à 500g ;;;;;;;;;;;4.5;[' noisettes séchées - ', '. 1'];;;;
Fruits et légumes;Fruits; noix - ;500g ;3.99;[' noix - ', '. 1'];;;3.99;[' noix - ', '. 1'];;;4.49;[' noix - ', '. 1'];4.99;[' noix - ', '. 2 - biologique'];;;;
Fruits et légumes;Fruits; noix de cajou crues - biologique - vrac;De 160g à 200g ;;;;;;;;;;;5.58;[' noix de cajou crues - biologique - vrac'];;;5.98;[' noix de cajou crues - biologique - vrac']
Fruits et légumes;Fruits; noix de coco - ;La pièce;;;;;;;;;;;1.99;[' noix de coco - ', '. 1'];;;;
Fruits et légumes;Fruits; noix de macadamia - biologique - vrac;De 80g à 100g ;;;;;;;;;;;;;5.19;[' noix de macadamia - biologique - vrac'];;
Fruits et légumes;Fruits; noix de pécan - biologique - vrac;De 80g à 100g ;;;;;;;;;;;5.19;[' noix de pécan - biologique - vrac'];;;5.99;[' noix de pécan - biologique - vrac']
Fruits et légumes;Fruits; noix du brésil - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;4.58;[' noix du brésil - biologique - vrac'];9.98;[' noix du brésil - biologique - vrac']
Fruits et légumes;Fruits; noix sèches - ;De 400g à 500g ;4.0;[' noix sèches - ', '. 1'];;;;;;;4.5;[' noix sèches - ', '. 1'];4.0;[' noix sèches - ', '. 1'];4.0;[' noix sèches - ', '. 1'];;
Fruits et légumes;Fruits; orange - ;La pièce ;;;;;0.89;[' orange - ', '. 2 - biologique'];;;;;;;;;;
Fruits et légumes;Fruits; orange - variété sanguinelli - ;1kg ;3.29;[' orange - variété sanguinelli - ', '. 1'];;;3.29;[' orange - variété sanguinelli - ', '. 1'];;;;;3.29;[' orange - variété sanguinelli - ', '. 1'];;;;
Fruits et légumes;Fruits; orange sélection - variété naveline - ;De 800g à 1kg ;2.59;[' orange sélection - variété naveline - ', '. 1'];2.59;[' orange sélection - variété naveline - ', '. 1'];2.59;[' orange sélection - variété naveline - ', '. 1'];2.59;[' orange sélection - variété naveline - ', '. 1'];3.29;[' orange sélection - variété naveline - ', '. 1'];2.59;[' orange sélection - variété naveline - ', '. 1'];2.59;[' orange sélection - variété naveline - ', '. 1'];;
Fruits et légumes;Fruits; orange à jus - ;2kg ;2.99;[' orange à jus - ', '.1'];;;2.99;[' orange à jus - ', '.1'];2.99;[' orange à jus - ', '.1'];3.79;[' orange à jus - ', '.1'];2.99;[' orange à jus - ', '.1'];2.99;[' orange à jus - ', '.1'];4.49;[' orange à jus - ', '.1']
Fruits et légumes;Fruits; oranges - variété maltaise - ;De 800g à 1kg ;;;;;3.29;[' oranges - variété maltaise - ', '. 1'];;;;;3.29;[' oranges - variété maltaise - ', '. 1'];3.29;[' oranges - variété maltaise - ', '. 1'];3.59;[' oranges - variété maltaise - ', '. 1']
Fruits et légumes;Fruits; oranges - variété naveline - sans résidu de pesticides - ;1kg ;;;;;;;;;;;2.49;[' oranges - variété naveline - sans résidu de pesticides - ', '. 1'];;;;
Fruits et légumes;Fruits; pignons de pin - biologique - vrac;De 80g à 100g ;;;;;;;;;;;7.0;[' pignons de pin - biologique - vrac'];7.0;[' pignons de pin - biologique - vrac'];5.99;[' pignons de pin - biologique - vrac']
Fruits et légumes;Fruits; pistaches grillées salées - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;;;7.98;[' pistaches grillées salées - biologique - vrac']
Fruits et légumes;Fruits; poire - variété rocha - ;De 800g à 1kg ;2.99;[' poire - variété rocha - ', '. 1'];2.99;[' poire - variété rocha - ', '. 1'];2.99;[' poire - variété rocha - ', '. 1'];2.99;[' poire - variété rocha - ', '. 1'];2.99;[' poire - variété rocha - ', '. 1'];2.99;[' poire - variété rocha - ', '. 1'];2.99;[' poire - variété rocha - ', '. 1'];3.59;[' poire - variété rocha - ', '. 1']
Fruits et légumes;Fruits; poire abate - ;De 800g à 1kg ;;;;;;;4.99;[' poire abate - ', '. 1'];;;4.99;[' poire abate - ', '. 1'];;;;
Fruits et légumes;Fruits; poires - variété conférence - ;De 800g à 1kg ;3.99;[' poires - variété conférence - ', '. 1'];3.99;[' poires - variété conférence - ', '. 1'];3.99;[' poires - variété conférence - ', '. 1'];3.99;[' poires - variété conférence - ', '. 1'];4.99;[' poires - variété conférence - ', '. 1'];3.99;[' poires - variété conférence - ', '. 1'];3.99;[' poires - variété conférence - ', '. 1'];4.79;[' poires - variété conférence - ', '. 1']
