categorie;type;nom;poids;prix_par_kg;prix;promo
Légumes;null;CASINO Coeur de laitue;200g (7,25€/KG);1,45€;non
Légumes;null;CASINO Coeur de laitue;320g (6,22€/KG);1,99€;non
Légumes;null;CASINO Feuille de chêne blonde;125g (10,80€/KG);1,35€;non
Légumes;null;CASINO Frisée 100% cœur;200g (8,45€/KG);1,69€;non
Légumes;null;FLORETTE Laitue Iceberg;175g (7,71€/KG);1,35€;non
Légumes;null;CASINO Laitue Iceberg craquante;300g (3,97€/KG);1,19€;non
Légumes;null;FLORETTE Salade cœur de laitue;200g (9,25€/KG);1,85€;non
Légumes;null;FLORETTE Salade Iceberg;300g (6,63€/KG);1,99€;non
Légumes;null;FLORETTE Duo Mâche Roquette;175g (13,14€/KG);2,30€;non
Légumes;null;BONDUELLE  VAPEUR Jeunes pousses;145g (14,41€/KG);2,09€;non
Légumes;null;FLORETTE Jeunes pousses;175g (14€/KG);2,45€;non
Légumes;null;BONDUELLE Jeunes pousses - Biologique;100g (22,90€/KG);2,29€;non
Légumes;null;CASINO Jeunes pousses corsées;125g (12,72€/KG);1,59€;non
Légumes;null;CASINO Mâche;125g (11,12€/KG);1,39€;non
Légumes;null;BONDUELLE Mâche - Sans résidu de pesticide;100g (17,90€/KG);1,79€;non
Légumes;null;CASINO Mâche et Roquette;125g (12,72€/KG);1,59€;non
Légumes;null;BONDUELLE Mâche roquette;100g (16,90€/KG);1,69€;non
Légumes;null;CASINO Maxi mâche;200g (9,75€/KG);1,95€;non
Légumes;null;FLORETTE Maxi mâche;200g (11,95€/KG);2,39€;non
Légumes;null;FLORETTE Maxi Mesclun;175g (13,09€/KG);2,29€;non
Légumes;null;CASINO Mesclun;125g (12,72€/KG);1,59€;non
Légumes;null;CASINO Roquette;100g (13,50€/KG);1,35€;non
Légumes;null;BONDUELLE Roquette;145g (14,83€/KG);2,15€;non
Légumes;null;FLORETTE Salade Mâche;125g (14,80€/KG);1,85€;non
Légumes;null;FLORETTE Trio Mâche Roquette Betterave;175g (14€/KG);2,45€;non
Légumes;null;BONDUELLE 4 saveurs gourmandes;280g (10,18€/KG);2,85€;non
Légumes;null;FLORETTE Mélange croquant;350g (6,83€/KG);2,39€;non
Légumes;null;FLORETTE Mélange de saison;180g (10,28€/KG);1,85€;non
Légumes;null;FLORETTE Mélange de saison;320g (8,09€/KG);2,59€;non
Légumes;null;LES CRUDETTES Mélange Gourmand;320g (8,41€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives à la berbère - Cumin, piment doux, laurier & ail;250g (10,76€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives à l'orientale - Piment, ail & persil;200g (13,45€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives de Grèce - Farcies aux amandes;200g (16,95€/KG);3,39€;non
Légumes;null;CROC' FRAIS Olives dénoyautées à la méditerranéenne;500g (7,98€/KG);3,99€;non
Légumes;null;CROC' FRAIS Olives dénoyautées à l'oriental;500g (7,98€/KG);3,99€;non
Légumes;null;CROC' FRAIS Olives entières cassée à l'ail;550g (7,25€/KG);3,99€;non
Légumes;null;CROC' FRAIS Olives farcies aux anchois;200g (13,45€/KG);2,69€;non
Légumes;null;BONDUELLE Salade Iceberg - Sans résidu de pesticides;250g (8,76€/KG);2,19€;non
Légumes;null;TOUS LES JOURS Salade mélangé;300g (3,97€/KG);1,19€;non
Légumes;null;CASINO Salades aux 4 saveurs;320g (7,16€/KG);2,29€;non
Légumes;null;CASINO BIO Mache - Biologique;125g (20,72€/KG);2,59€;non
Légumes;null;CASINO BIO Carotte - Cat. 2 - Biologique;1kg (2,59€/KG);2,59€;non
Légumes;null;CASINO BIO Radis rond - Cat. 2 - Biologique;250g (7,96€/KG);1,99€;non
Légumes;null;LE GESTE SAVEUR Basilic prêt à l'emploi;90g (26,11€/KG);2,35€;non
Légumes;null;LE GESTE SAVEUR Coriandre prêt à l'emploi;90g (26,11€/KG);2,35€;non
Légumes;null;FLORETTE Ciboulette;11g (153,64€/KG);1,69€;non
Légumes;null;FLORETTE Coriande en sachet;11g (153,64€/KG);1,69€;non
Légumes;null;FLORETTE Menthe;11g (153,64€/KG);1,69€;non
Légumes;null;FESTIFRUITS Ail semoule;130g (18,38€/KG);2,39€;non
Légumes;null;LA CONQUETE DES SAVEURS Ail semoule;90g (44,33€/KG);3,99€;non
Légumes;null; Canelle batons;70g (24,14€/KG);1,69€;non
Légumes;null;LA CONQUETE DES SAVEURS Canelle moulue;150ml (11€/L);1,65€;non
Légumes;null; Confit oignons tradition;220g (15,86€/KG);3,49€;non
Légumes;null;LA CONQUETE DES SAVEURS Cumin moulue;50g (33,80€/KG);1,69€;non
Légumes;null;LA CONQUETE DES SAVEURS Curcuma;70g (24,14€/KG);1,69€;non
Légumes;null;LA CONQUETE DES SAVEURS Curry hot;75g (23,87€/KG);1,79€;non
Légumes;null;FESTIFRUITS Echalotes lanières;40g (28,75€/KG);1,15€;non
Légumes;null;LA CONQUETE DES SAVEURS Gingembre confit;225ml (16,90€/KG);1,69€;non
Légumes;null;LA CONQUETE DES SAVEURS Gingembre moulu;70g (28,43€/KG);1,99€;non
Légumes;null;LA CONQUETE DES SAVEURS Gousse de vanille;x2 (1982€/KG);9,91€;non
Légumes;null; Mélange épice chobra;70g (35,57€/KG);2,49€;non
Légumes;null;LA CONQUETE DES SAVEURS Mélange épice kefta;100g (27,90€/KG);2,79€;non
Légumes;null;LA CONQUETE DES SAVEURS Mélange épice mexicaine;80g (24,88€/KG);1,99€;non
Légumes;null;LA CONQUETE DES SAVEURS Mélange épice pour omelette;70g (35,57€/KG);2,49€;non
Légumes;null; Mélange épice pour paella;55g (31,82€/KG);1,75€;non
Légumes;null;LA CONQUETE DES SAVEURS Mélange épice pour pomme sautée;80g (24,88€/KG);1,99€;non
Légumes;null;LA CONQUETE DES SAVEURS Mélange épice pour poulet;75g (26,53€/KG);1,99€;non
Légumes;null;LA CONQUETE DES SAVEURS Mélange épice pour tajine;75g (26,53€/KG);1,99€;non
